Ma,P/P_0,T/T_0,r/r_0,c/c_0,A/A*
0.00,1.0000E+00,1.0000E+00,1.0000E+00,1.0000E+00,Infinity
0.01,9.9993E-01,9.9998E-01,9.9995E-01,9.9999E-01,5.7874E+01
0.02,9.9972E-01,9.9992E-01,9.9980E-01,9.9996E-01,2.8942E+01
0.03,9.9937E-01,9.9982E-01,9.9955E-01,9.9991E-01,1.9301E+01
0.04,9.9888E-01,9.9968E-01,9.9920E-01,9.9984E-01,1.4481E+01
0.05,9.9825E-01,9.9950E-01,9.9875E-01,9.9975E-01,1.1591E+01
0.06,9.9748E-01,9.9928E-01,9.9820E-01,9.9964E-01,9.6659E+00
0.07,9.9658E-01,9.9902E-01,9.9755E-01,9.9951E-01,8.2915E+00
0.08,9.9553E-01,9.9872E-01,9.9681E-01,9.9936E-01,7.2616E+00
0.09,9.9435E-01,9.9838E-01,9.9596E-01,9.9919E-01,6.4613E+00
0.10,9.9303E-01,9.9800E-01,9.9502E-01,9.9900E-01,5.8218E+00
0.11,9.9158E-01,9.9759E-01,9.9398E-01,9.9879E-01,5.2992E+00
0.12,9.8998E-01,9.9713E-01,9.9284E-01,9.9856E-01,4.8643E+00
0.13,9.8826E-01,9.9663E-01,9.9160E-01,9.9831E-01,4.4969E+00
0.14,9.8640E-01,9.9610E-01,9.9027E-01,9.9805E-01,4.1824E+00
0.15,9.8441E-01,9.9552E-01,9.8884E-01,9.9776E-01,3.9103E+00
0.16,9.8228E-01,9.9491E-01,9.8731E-01,9.9745E-01,3.6727E+00
0.17,9.8003E-01,9.9425E-01,9.8569E-01,9.9712E-01,3.4635E+00
0.18,9.7765E-01,9.9356E-01,9.8398E-01,9.9678E-01,3.2779E+00
0.19,9.7514E-01,9.9283E-01,9.8218E-01,9.9641E-01,3.1123E+00
0.20,9.7250E-01,9.9206E-01,9.8028E-01,9.9602E-01,2.9635E+00
0.21,9.6973E-01,9.9126E-01,9.7829E-01,9.9562E-01,2.8293E+00
0.22,9.6685E-01,9.9041E-01,9.7620E-01,9.9519E-01,2.7076E+00
0.23,9.6383E-01,9.8953E-01,9.7403E-01,9.9475E-01,2.5968E+00
0.24,9.6070E-01,9.8861E-01,9.7177E-01,9.9429E-01,2.4956E+00
0.25,9.5745E-01,9.8765E-01,9.6942E-01,9.9381E-01,2.4027E+00
0.26,9.5408E-01,9.8666E-01,9.6698E-01,9.9331E-01,2.3173E+00
0.27,9.5060E-01,9.8563E-01,9.6446E-01,9.9279E-01,2.2385E+00
0.28,9.4700E-01,9.8456E-01,9.6185E-01,9.9225E-01,2.1656E+00
0.29,9.4329E-01,9.8346E-01,9.5916E-01,9.9169E-01,2.0979E+00
0.30,9.3947E-01,9.8232E-01,9.5638E-01,9.9112E-01,2.0351E+00
0.31,9.3554E-01,9.8114E-01,9.5352E-01,9.9053E-01,1.9765E+00
0.32,9.3150E-01,9.7993E-01,9.5058E-01,9.8991E-01,1.9219E+00
0.33,9.2736E-01,9.7868E-01,9.4756E-01,9.8928E-01,1.8707E+00
0.34,9.2312E-01,9.7740E-01,9.4446E-01,9.8864E-01,1.8229E+00
0.35,9.1877E-01,9.7609E-01,9.4128E-01,9.8797E-01,1.7780E+00
0.36,9.1433E-01,9.7473E-01,9.3803E-01,9.8729E-01,1.7358E+00
0.37,9.0979E-01,9.7335E-01,9.3470E-01,9.8658E-01,1.6961E+00
0.38,9.0516E-01,9.7193E-01,9.3130E-01,9.8587E-01,1.6587E+00
0.39,9.0043E-01,9.7048E-01,9.2782E-01,9.8513E-01,1.6234E+00
0.40,8.9561E-01,9.6899E-01,9.2427E-01,9.8437E-01,1.5901E+00
0.41,8.9071E-01,9.6747E-01,9.2066E-01,9.8360E-01,1.5587E+00
0.42,8.8572E-01,9.6592E-01,9.1697E-01,9.8281E-01,1.5289E+00
0.43,8.8065E-01,9.6434E-01,9.1322E-01,9.8201E-01,1.5007E+00
0.44,8.7550E-01,9.6272E-01,9.0940E-01,9.8118E-01,1.4740E+00
0.45,8.7027E-01,9.6108E-01,9.0551E-01,9.8035E-01,1.4487E+00
0.46,8.6496E-01,9.5940E-01,9.0157E-01,9.7949E-01,1.4246E+00
0.47,8.5958E-01,9.5769E-01,8.9756E-01,9.7862E-01,1.4018E+00
0.48,8.5413E-01,9.5595E-01,8.9349E-01,9.7773E-01,1.3801E+00
0.49,8.4861E-01,9.5418E-01,8.8936E-01,9.7682E-01,1.3595E+00
0.50,8.4302E-01,9.5238E-01,8.8517E-01,9.7590E-01,1.3398E+00
0.51,8.3737E-01,9.5055E-01,8.8093E-01,9.7496E-01,1.3212E+00
0.52,8.3165E-01,9.4869E-01,8.7663E-01,9.7401E-01,1.3034E+00
0.53,8.2588E-01,9.4681E-01,8.7228E-01,9.7304E-01,1.2865E+00
0.54,8.2005E-01,9.4489E-01,8.6788E-01,9.7206E-01,1.2703E+00
0.55,8.1417E-01,9.4295E-01,8.6342E-01,9.7106E-01,1.2549E+00
0.56,8.0823E-01,9.4098E-01,8.5892E-01,9.7004E-01,1.2403E+00
0.57,8.0224E-01,9.3898E-01,8.5437E-01,9.6901E-01,1.2263E+00
0.58,7.9621E-01,9.3696E-01,8.4978E-01,9.6797E-01,1.2130E+00
0.59,7.9013E-01,9.3491E-01,8.4514E-01,9.6691E-01,1.2003E+00
0.60,7.8400E-01,9.3284E-01,8.4045E-01,9.6583E-01,1.1882E+00
0.61,7.7784E-01,9.3073E-01,8.3573E-01,9.6475E-01,1.1767E+00
0.62,7.7164E-01,9.2861E-01,8.3096E-01,9.6364E-01,1.1656E+00
0.63,7.6540E-01,9.2646E-01,8.2616E-01,9.6253E-01,1.1552E+00
0.64,7.5913E-01,9.2428E-01,8.2132E-01,9.6140E-01,1.1451E+00
0.65,7.5283E-01,9.2208E-01,8.1644E-01,9.6025E-01,1.1356E+00
0.66,7.4650E-01,9.1986E-01,8.1153E-01,9.5909E-01,1.1265E+00
0.67,7.4014E-01,9.1762E-01,8.0659E-01,9.5792E-01,1.1179E+00
0.68,7.3376E-01,9.1535E-01,8.0162E-01,9.5674E-01,1.1097E+00
0.69,7.2735E-01,9.1306E-01,7.9661E-01,9.5554E-01,1.1018E+00
0.70,7.2093E-01,9.1075E-01,7.9158E-01,9.5433E-01,1.0944E+00
0.71,7.1448E-01,9.0841E-01,7.8652E-01,9.5311E-01,1.0873E+00
0.72,7.0803E-01,9.0606E-01,7.8143E-01,9.5187E-01,1.0806E+00
0.73,7.0155E-01,9.0369E-01,7.7632E-01,9.5062E-01,1.0742E+00
0.74,6.9507E-01,9.0129E-01,7.7119E-01,9.4936E-01,1.0681E+00
0.75,6.8857E-01,8.9888E-01,7.6604E-01,9.4809E-01,1.0624E+00
0.76,6.8207E-01,8.9644E-01,7.6086E-01,9.4681E-01,1.0570E+00
0.77,6.7556E-01,8.9399E-01,7.5567E-01,9.4551E-01,1.0519E+00
0.78,6.6905E-01,8.9152E-01,7.5046E-01,9.4420E-01,1.0471E+00
0.79,6.6254E-01,8.8903E-01,7.4523E-01,9.4288E-01,1.0425E+00
0.80,6.5602E-01,8.8652E-01,7.3999E-01,9.4155E-01,1.0382E+00
0.81,6.4951E-01,8.8400E-01,7.3474E-01,9.4021E-01,1.0342E+00
0.82,6.4300E-01,8.8146E-01,7.2947E-01,9.3886E-01,1.0305E+00
0.83,6.3650E-01,8.7890E-01,7.2419E-01,9.3750E-01,1.0270E+00
0.84,6.3000E-01,8.7633E-01,7.1891E-01,9.3613E-01,1.0237E+00
0.85,6.2351E-01,8.7374E-01,7.1361E-01,9.3474E-01,1.0207E+00
0.86,6.1703E-01,8.7114E-01,7.0831E-01,9.3335E-01,1.0179E+00
0.87,6.1057E-01,8.6852E-01,7.0300E-01,9.3195E-01,1.0153E+00
0.88,6.0412E-01,8.6589E-01,6.9768E-01,9.3053E-01,1.0129E+00
0.89,5.9768E-01,8.6324E-01,6.9236E-01,9.2911E-01,1.0108E+00
0.90,5.9126E-01,8.6059E-01,6.8704E-01,9.2768E-01,1.0089E+00
0.91,5.8486E-01,8.5791E-01,6.8172E-01,9.2624E-01,1.0071E+00
0.92,5.7848E-01,8.5523E-01,6.7640E-01,9.2478E-01,1.0056E+00
0.93,5.7211E-01,8.5253E-01,6.7108E-01,9.2333E-01,1.0043E+00
0.94,5.6578E-01,8.4982E-01,6.6576E-01,9.2186E-01,1.0031E+00
0.95,5.5946E-01,8.4710E-01,6.6044E-01,9.2038E-01,1.0021E+00
0.96,5.5317E-01,8.4437E-01,6.5513E-01,9.1889E-01,1.0014E+00
0.97,5.4691E-01,8.4162E-01,6.4982E-01,9.1740E-01,1.0008E+00
